('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         931727 function calls (909642 primitive calls) in 281.719 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    44/33    0.000    0.000    0.110    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      363    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
       38    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
      193    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      160    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      299    0.000    0.000    0.147    0.000 __init__.py:226(compile)
       56    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        9    0.000    0.000    4.121    0.458 ssl.py:1313(do_handshake)
        1    0.000    0.000    0.649    0.649 dammit.py:1(<module>)
        9    0.000    0.000  276.086   30.676 client.py:1358(_send_request)
      102    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       91    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      193    0.000    0.000    0.133    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      393    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      348    0.000    0.000    0.000    0.000 utils.py:91(<genexpr>)
      544    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       40    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
     1034    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 element.py:1764(Tag)
      673    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      379    0.000    0.000    0.005    0.000 {built-in method builtins.next}
       47    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_build}
       10    0.000    0.000    0.001    0.000 ssl.py:1200(sendall)
      594    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
