('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1046056 function calls (1020540 primitive calls) in 44.380 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      318    0.000    0.000    0.183    0.001 __init__.py:226(compile)
        1    0.000    0.000    0.000    0.000 response.py:689(HTTPResponse)
       31    0.000    0.000    0.002    0.000 cookiejar.py:949(set_ok)
      383    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      318    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      285    0.000    0.000    0.001    0.000 css_parser.py:344(match)
      126    0.000    0.000    0.261    0.002 client.py:638(_safe_read)
      322    0.000    0.000    0.001    0.000 css_parser.py:248(css_unescape)
      723    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
       33    0.000    0.000    0.006    0.000 cookiejar.py:1680(extract_cookies)
      129    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
        3    0.000    0.000   33.202   11.067 connection.py:901(_ssl_wrap_socket_and_match_hostname)
      144    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
      325    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
       31    0.000    0.000    0.001    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
      164    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
       22    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      311    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
        9    0.000    0.000    0.072    0.008 client.py:218(_read_headers)
        9    0.000    0.000   38.093    4.233 connectionpool.py:592(urlopen)
       86    0.000    0.000    0.000    0.000 response.py:1328(_update_chunk_length)
       21    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        9    0.000    0.000    0.000    0.000 response.py:466(__init__)
      541    0.000    0.000    0.000    0.000 response.py:187(has_unconsumed_tail)
       95    0.000    0.000    0.000    0.000 parse.py:947(quote_from_bytes)
       12    0.000    0.000    0.001    0.000 enum.py:1414(_missing_)
       72    0.000    0.000    0.000    0.000 cookiejar.py:550(domain_match)
