('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1044928 function calls (1019376 primitive calls) in 9.848 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      193    0.001    0.000    0.010    0.000 _compiler.py:511(_compile_info)
      193    0.001    0.000    0.168    0.001 _compiler.py:740(compile)
      193    0.001    0.000    0.063    0.000 _compiler.py:573(_code)
      193    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      193    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      193    0.000    0.000    0.001    0.000 _parser.py:231(__init__)
      192    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      189    0.000    0.000    0.000    0.000 structures.py:58(<genexpr>)
      184    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      184    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      179    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      177    0.000    0.000    0.010    0.000 _parser.py:98(closegroup)
      177    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
      174    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      170    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      170    0.000    0.000    0.001    0.000 _collections.py:257(__getitem__)
      169    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      169    0.000    0.000    0.000    0.000 enum.py:1292(value)
      164    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      164    0.000    0.000    0.004    0.000 _markupbase.py:165(parse_comment)
      164    0.000    0.000    0.003    0.000 _htmlparser.py:269(handle_comment)
      164    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
      164    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
      162    0.000    0.000    0.002    0.000 cookiejar.py:620(request_host)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      154    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      145    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      144    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
      144    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
  142/137    0.000    0.000    0.004    0.000 css_parser.py:395(freeze)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      141    0.001    0.000    0.004    0.000 typing.py:1242(__init__)
      136    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      136    0.000    0.000    0.000    0.000 connection.py:412(<genexpr>)
      134    0.000    0.000    0.000    0.000 _collections.py:295(__iter__)
  133/115    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      129    0.000    0.000    0.000    0.000 _collections.py:306(add)
      129    0.000    0.000    0.000    0.000 message.py:511(set_raw)
      129    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
      129    0.000    0.000    0.001    0.000 _policybase.py:301(header_source_parse)
      128    0.000    0.000    0.258    0.002 client.py:638(_safe_read)
      127    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      124    0.002    0.000    0.004    0.000 _compiler.py:467(_get_charset_prefix)
      121    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
      119    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      119    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      119    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
      118    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      114    0.000    0.000    0.000    0.000 parse.py:205(_hostinfo)
      114    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      112    0.000    0.000    0.045    0.000 enum.py:1551(__or__)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      109    0.000    0.000    0.000    0.000 util.py:19(to_str)
      107    0.000    0.000    0.001    0.000 copy.py:61(copy)
      107    0.000    0.000    0.000    0.000 cookiejar.py:1667(set_cookie)
      107    0.000    0.000    0.001    0.000 cookies.py:349(set_cookie)
      107    0.000    0.000    0.000    0.000 constant.py:417(<lambda>)
      106    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
      106    0.000    0.000    0.000    0.000 element.py:2355(get)
      105    0.000    0.000    0.000    0.000 parse.py:164(hostname)
      104    0.010    0.000    0.321    0.003 {method 'join' of 'bytes' objects}
      101    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       98    0.000    0.000    0.621    0.006 utils.py:265(is_multi_byte_encoding)
       95    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
       95    0.000    0.000    0.000    0.000 parse.py:947(quote_from_bytes)
       95    0.000    0.000    0.001    0.000 parse.py:871(quote)
     93/3    0.000    0.000    0.686    0.229 <frozen importlib._bootstrap>:1375(_gcd_import)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1285(_sanity_check)
     93/3    0.000    0.000    0.686    0.229 __init__.py:73(import_module)
    91/64    0.000    0.000    0.005    0.000 typing.py:508(__getitem__)
       90    0.000    0.000    0.001    0.000 cookiejar.py:636(eff_request_host)
       90    0.000    0.000    0.000    0.000 timeout.py:130(_validate_timeout)
       89    0.000    0.000    0.000    0.000 cookiejar.py:810(is_expired)
       88    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       88    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
       88    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       88    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       86    0.000    0.000    0.001    0.000 response.py:1328(_update_chunk_length)
    84/53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    84/53    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       84    0.000    0.000    0.258    0.003 response.py:1346(_handle_chunk)
       82    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
